2026/05/15 20:19精选更新,#genre#
CCTV6,http://180.165.22.10:9999/rtp/239.45.1.70:5140
CCTV7,http://180.165.22.10:9999/rtp/239.45.3.56:5140
CCTV7,http://180.165.22.10:9999/rtp/233.18.204.73:5140
CCTV8,http://180.165.22.10:9999/rtp/239.45.1.71:5140
CCTV8,http://180.165.22.10:9999/rtp/233.18.204.74:5140
CCTV9,http://180.165.22.10:9999/rtp/239.45.3.4:5140
CCTV9,http://180.165.22.10:9999/rtp/233.18.204.75:5140
CCTV10,http://180.165.22.10:9999/rtp/239.45.3.8:5140
CCTV10,http://180.165.22.10:9999/rtp/233.18.204.76:5140
CCTV11,http://180.165.22.10:9999/rtp/239.45.1.196:5140
CCTV11,http://180.165.22.10:9999/rtp/233.18.204.77:5140
CCTV12,http://180.165.22.10:9999/rtp/239.45.3.10:5140
CCTV12,http://180.165.22.10:9999/rtp/233.18.204.78:5140
CCTV13,http://180.165.22.10:9999/rtp/239.45.1.198:5140
CCTV13,http://180.165.22.10:9999/rtp/233.18.204.79:5140
CCTV14,http://180.165.22.10:9999/rtp/239.45.3.23:5140
CCTV14,http://180.165.22.10:9999/rtp/233.18.204.80:5140
CCTV15,http://180.165.22.10:9999/rtp/239.45.1.200:5140
CCTV15,http://180.165.22.10:9999/rtp/233.18.204.81:5140
CCTV16,http://180.165.22.10:9999/rtp/233.18.204.82:5140
CCTV17,http://180.165.22.10:9999/rtp/239.45.3.52:5140
CCTV17,http://180.165.22.10:9999/rtp/233.18.204.83:5140
CCTV4KSDR,http://180.165.22.10:9999/rtp/233.18.204.188:5140
CHC动作电影,http://180.165.22.10:9999/rtp/239.45.0.41:5140
CHC动作电影,http://180.165.22.10:9999/rtp/233.18.204.174:5140
CHC家庭影院,http://180.165.22.10:9999/rtp/239.45.0.40:5140
CHC家庭影院,http://180.165.22.10:9999/rtp/233.18.204.173:5140
风云音乐,http://180.165.22.10:9999/rtp/233.18.204.185:5140
世界地理,http://180.165.22.10:9999/rtp/233.18.204.179:5140
第一剧场,http://180.165.22.10:9999/rtp/233.18.204.184:5140
