央视,#genre#
CCTV12,http://home888.uttcare.com:8889/rtp/233.18.204.31:5140,无效
CCTV12,http://shenhua.asuscomm.com:8888/rtp/233.18.204.31:5140,无效
CCTV12,http://yyf1991.top:9999/rtp/233.18.204.78:5140,有效
CCTV12,http://cx.shscxzx.cn:8899/rtp/233.18.204.78:5140,有效
CCTV12,http://wsc2007123.myds.me:30100/rtp/233.18.204.78:5140,有效
CCTV12,http://home888.uttcare.com:8889/rtp/233.18.204.78:5140,有效
CCTV12,http://shenhua.asuscomm.com:8888/rtp/233.18.204.78:5140,有效
CCTV12,http://yyf1991.top:9999/rtp/239.45.3.10:5140,无效
CCTV12,http://cx.shscxzx.cn:8899/rtp/239.45.3.10:5140,无效
CCTV12,http://wsc2007123.myds.me:30100/rtp/239.45.3.10:5140,无效
CCTV12,http://home888.uttcare.com:8889/rtp/239.45.3.10:5140,无效
CCTV12,http://shenhua.asuscomm.com:8888/rtp/239.45.3.10:5140,无效
CCTV13,http://yyf1991.top:9999/rtp/233.18.204.32:5140,无效
CCTV13,http://cx.shscxzx.cn:8899/rtp/233.18.204.32:5140,无效
CCTV13,http://wsc2007123.myds.me:30100/rtp/233.18.204.32:5140,无效
CCTV13,http://home888.uttcare.com:8889/rtp/233.18.204.32:5140,无效
CCTV13,http://shenhua.asuscomm.com:8888/rtp/233.18.204.32:5140,无效
CCTV13,http://yyf1991.top:9999/rtp/233.18.204.79:5140,有效
CCTV13,http://cx.shscxzx.cn:8899/rtp/233.18.204.79:5140,有效
CCTV13,http://wsc2007123.myds.me:30100/rtp/233.18.204.79:5140,有效
CCTV13,http://home888.uttcare.com:8889/rtp/233.18.204.79:5140,有效
CCTV13,http://shenhua.asuscomm.com:8888/rtp/233.18.204.79:5140,有效
CCTV14,http://yyf1991.top:9999/rtp/233.18.204.33:5140,无效
CCTV14,http://cx.shscxzx.cn:8899/rtp/233.18.204.33:5140,无效
CCTV14,http://wsc2007123.myds.me:30100/rtp/233.18.204.33:5140,无效
CCTV14,http://home888.uttcare.com:8889/rtp/233.18.204.33:5140,无效
CCTV14,http://shenhua.asuscomm.com:8888/rtp/233.18.204.33:5140,无效
CCTV14,http://yyf1991.top:9999/rtp/233.18.204.80:5140,有效
CCTV14,http://cx.shscxzx.cn:8899/rtp/233.18.204.80:5140,有效
CCTV14,http://wsc2007123.myds.me:30100/rtp/233.18.204.80:5140,有效
CCTV14,http://home888.uttcare.com:8889/rtp/233.18.204.80:5140,有效
CCTV14,http://shenhua.asuscomm.com:8888/rtp/233.18.204.80:5140,有效
CCTV15,http://yyf1991.top:9999/rtp/233.18.204.34:5140,有效
CCTV15,http://cx.shscxzx.cn:8899/rtp/233.18.204.34:5140,有效
CCTV15,http://wsc2007123.myds.me:30100/rtp/233.18.204.34:5140,有效
CCTV15,http://home888.uttcare.com:8889/rtp/233.18.204.34:5140,有效
CCTV15,http://shenhua.asuscomm.com:8888/rtp/233.18.204.34:5140,有效
CCTV15,http://yyf1991.top:9999/rtp/233.18.204.81:5140,有效
CCTV15,http://cx.shscxzx.cn:8899/rtp/233.18.204.81:5140,有效
CCTV15,http://wsc2007123.myds.me:30100/rtp/233.18.204.81:5140,有效
CCTV15,http://home888.uttcare.com:8889/rtp/233.18.204.81:5140,有效
CCTV15,http://shenhua.asuscomm.com:8888/rtp/233.18.204.81:5140,有效
CCTV16,http://yyf1991.top:9999/rtp/233.18.204.114:5140,无效
